ID,SAMPLE,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ExternalReference,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q3_15,Q3_16,Q3_17,Q3_18,Q3_19,Q3_20,Q3_21,Q3_22,Q3_23,Q3_24,Q3_25,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q5_13,Q5_14,Q5_15,Q5_16,Q5_17,Q5_18,Q5_19,Q5_20,Q5_21,Q5_22,Q5_23,Q5_24,Q5_25,Q6,Q7,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q13
o5pc9cgnhxpvyvu5xt9qcra4,WJ,2019-08-19 11:56:37,2019-08-19 12:03:25,0,100,407,1,2019-08-19 12:03:25,NA,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,6,2,6,5,5,7,5,6,6,6,3,2,5,4,5,5,6,4,Working class
6ix7m7ik8i1ml1lqs0yuaf9r,WJ,2019-08-19 11:59:44,2019-08-19 12:03:40,0,100,236,1,2019-08-19 12:03:41,NA,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,3,1,1,7,7,1,1,7,7,1,1,7,5,2,1,7,1,working class people
2efsm2t5nx3zywladksr3d0s,WJ,2019-08-19 11:58:23,2019-08-19 12:03:42,0,100,318,1,2019-08-19 12:03:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,4,4,4,2,1,1,1,7,7,2,1,7,7,1,1,5,3,3,2,5,1,Normal people
5viqvbrpd9u7b9bntvfmq12d,WJ,2019-08-19 11:58:55,2019-08-19 12:04:28,0,100,333,1,2019-08-19 12:04:29,NA,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,5,5,1,1,4,7,7,1,1,7,7,4,2,5,4,4,2,5,4,Working class people
ersypyc5sm51dyqmqe5sm8ar,WJ,2019-08-19 11:59:01,2019-08-19 12:05:02,0,100,360,1,2019-08-19 12:05:02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,6,6,2,2,6,6,2,2,6,2,2,2,6,2,Professional people
0m8o16cbbnj1phky7o1813fs,WJ,2019-08-19 12:03:20,2019-08-19 12:05:43,0,100,142,1,2019-08-19 12:05:43,NA,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,3,4,5,4,4,4,4,4,4,4,4,3,3,5,4,5,5,gorvernment
yz2xha777tewxcumhuh1gdfp,WJ,2019-08-19 12:02:24,2019-08-19 12:06:43,0,100,258,1,2019-08-19 12:06:44,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,5,6,1,4,3,5,4,2,3,5,6,3,4,5,3,3,3,5,3,People in working class jobs
r16n275kt728hkhoufx2zmkh,WJ,2019-08-19 12:02:46,2019-08-19 12:06:58,0,100,252,1,2019-08-19 12:06:59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,7,3,6,6,1,4,3,4,7,4,2,7,7,2,3,6,5,5,2,5,3,Non Professionals
bw89gy8gab3osrn778d8wjsl,WJ,2019-08-19 12:03:15,2019-08-19 12:07:03,0,100,227,1,2019-08-19 12:07:03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,7,7,7,7,1,2,2,6,6,3,3,3,5,1,1,7,1,1,1,7,1,workers
5o2ntdzn5c0qz5yzwc0fhgmd,WJ,2019-08-19 12:04:37,2019-08-19 12:07:35,0,100,177,1,2019-08-19 12:07:35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,5,2,2,4,1,3,1,7,5,4,3,6,6,1,2,4,3,5,2,5,2,Professionals
y8s0k0grm3zib3ojjj6o9md4,WJ,2019-08-19 12:01:29,2019-08-19 12:08:08,0,100,398,1,2019-08-19 12:08:08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,7,5,4,1,1,3,1,1,7,1,1,7,7,2,2,6,6,4,2,6,2,Professional
ogxvhjzzsv7bplil2qpqil3x,WJ,2019-08-19 12:02:59,2019-08-19 12:09:11,0,100,372,1,2019-08-19 12:09:11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,6,4,5,4,3,3,2,6,6,2,2,6,6,4,2,4,4,3,6,5,3,Admin and professional people degree educated
u97pm6id9p8x0qdh6nbad3rr,WJ,2019-08-19 12:06:07,2019-08-19 12:09:11,0,100,184,1,2019-08-19 12:09:12,NA,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,5,2,4,2,6,6,4,3,5,6,2,2,5,1,2,1,6,3,Working Class
3o0pw8194uv44nt792xivzrj,WJ,2019-08-19 12:03:14,2019-08-19 12:09:14,0,100,359,1,2019-08-19 12:09:14,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,7,4,1,1,1,7,7,1,1,7,7,5,5,3,5,5,3,5,3,Working class
amgc2yuhr23q0uyh1tskbnv0,WJ,2019-08-19 12:05:41,2019-08-19 12:09:18,0,100,216,1,2019-08-19 12:09:18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,4,4,4,4,3,5,3,4,4,5,3,5,7,2,2,5,3,3,1,5,4,honestly cannot remember
