id,participant_ideology,participant_gender,protesters_cause,action,response,action_text,exclude
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,12,1,donate to politicians who advocate [Field-cause] restricting or banning abortion,FALSE
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,13,1,refuse to work (strike),FALSE
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,14,0,"pay for adverts on social media (e.g., Facebook, Twitter, Instagram) to influence public opinion",FALSE
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,15,0,donate to activist groups,FALSE
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,16,0,"visit people in their homes to convince them about the issue (canvassing, door knocking)",FALSE
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,17,0,"stand or sit in a building and refuse to leave (stand-in, sit-in)",FALSE
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,18,0,protest outside the homes of politicians who advocate [against/for] restricting or banning abortion,FALSE
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,19,0,enter and refuse to leave a building (occupation),FALSE
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,20,0,paste up posters with political messages in places where it is not allowed or encouraged,FALSE
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,21,0,"disrupt traffic (e.g., blocking roads)",FALSE
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,22,0,"refuse to pay fees, fines, or taxes in protest",FALSE
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,23,0,mock or insult individuals who are [against/for] restricting or banning abortion,FALSE
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,24,0,spray paint political messages in public places,FALSE
03arxj1hkreuqy5vlg9f50so,Conservative,Woman,Against,25,0,attend a protest march even though it might turn violent,FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,1,1,attend a protest march even though it might be unlawful,FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,2,1,"hand out flyers, leaflets, or pamphlets",FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,3,1,make a public speech,FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,4,1,hold meetings to influence the public,FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,5,1,attend or organise a protest march,FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,6,1,"wear or display political symbols (e.g., patches, flags, bumper stickers)",FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,7,1,"use social media (e.g., Facebook, Twitter, Instagram) to influence the public",FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,8,1,refuse to buy goods or services from companies that advocate [against/for] restricting or banning abortion (boycott),FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,9,1,paste up posters with political messages in places where it is allowed and encouraged,FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,10,1,join or form a group of activists,FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,11,1,refuse to accept honors or awards in protest,FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,12,1,donate to politicians who advocate [Field-cause] restricting or banning abortion,FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,13,1,refuse to work (strike),FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,14,1,"pay for adverts on social media (e.g., Facebook, Twitter, Instagram) to influence public opinion",FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,15,1,donate to activist groups,FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,16,1,"visit people in their homes to convince them about the issue (canvassing, door knocking)",FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,17,1,"stand or sit in a building and refuse to leave (stand-in, sit-in)",FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,18,1,protest outside the homes of politicians who advocate [against/for] restricting or banning abortion,FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,19,1,enter and refuse to leave a building (occupation),FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,20,1,paste up posters with political messages in places where it is not allowed or encouraged,FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,21,1,"disrupt traffic (e.g., blocking roads)",FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,22,1,"refuse to pay fees, fines, or taxes in protest",FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,23,1,mock or insult individuals who are [against/for] restricting or banning abortion,FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,24,0,spray paint political messages in public places,FALSE
04gmkmjnzppyz39jdhjur850,Liberal,Woman,Against,25,1,attend a protest march even though it might turn violent,FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,1,1,attend a protest march even though it might be unlawful,FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,2,1,"hand out flyers, leaflets, or pamphlets",FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,3,1,make a public speech,FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,4,1,hold meetings to influence the public,FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,5,1,attend or organise a protest march,FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,6,1,"wear or display political symbols (e.g., patches, flags, bumper stickers)",FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,7,1,"use social media (e.g., Facebook, Twitter, Instagram) to influence the public",FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,8,1,refuse to buy goods or services from companies that advocate [against/for] restricting or banning abortion (boycott),FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,9,1,paste up posters with political messages in places where it is allowed and encouraged,FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,10,1,join or form a group of activists,FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,11,0,refuse to accept honors or awards in protest,FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,12,1,donate to politicians who advocate [Field-cause] restricting or banning abortion,FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,13,0,refuse to work (strike),FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,14,1,"pay for adverts on social media (e.g., Facebook, Twitter, Instagram) to influence public opinion",FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,15,1,donate to activist groups,FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,16,0,"visit people in their homes to convince them about the issue (canvassing, door knocking)",FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,17,0,"stand or sit in a building and refuse to leave (stand-in, sit-in)",FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,18,0,protest outside the homes of politicians who advocate [against/for] restricting or banning abortion,FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,19,0,enter and refuse to leave a building (occupation),FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,20,1,paste up posters with political messages in places where it is not allowed or encouraged,FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,21,0,"disrupt traffic (e.g., blocking roads)",FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,22,0,"refuse to pay fees, fines, or taxes in protest",FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,23,0,mock or insult individuals who are [against/for] restricting or banning abortion,FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,24,0,spray paint political messages in public places,FALSE
04p3z4iia9v1fvx1ubvjbnfe,Conservative,Man,For,25,0,attend a protest march even though it might turn violent,FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,1,0,attend a protest march even though it might be unlawful,FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,2,1,"hand out flyers, leaflets, or pamphlets",FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,3,1,make a public speech,FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,4,1,hold meetings to influence the public,FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,5,1,attend or organise a protest march,FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,6,1,"wear or display political symbols (e.g., patches, flags, bumper stickers)",FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,7,1,"use social media (e.g., Facebook, Twitter, Instagram) to influence the public",FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,8,1,refuse to buy goods or services from companies that advocate [against/for] restricting or banning abortion (boycott),FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,9,1,paste up posters with political messages in places where it is allowed and encouraged,FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,10,1,join or form a group of activists,FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,11,1,refuse to accept honors or awards in protest,FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,12,1,donate to politicians who advocate [Field-cause] restricting or banning abortion,FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,13,1,refuse to work (strike),FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,14,1,"pay for adverts on social media (e.g., Facebook, Twitter, Instagram) to influence public opinion",FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,15,1,donate to activist groups,FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,16,1,"visit people in their homes to convince them about the issue (canvassing, door knocking)",FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,17,1,"stand or sit in a building and refuse to leave (stand-in, sit-in)",FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,18,0,protest outside the homes of politicians who advocate [against/for] restricting or banning abortion,FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,19,0,enter and refuse to leave a building (occupation),FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,20,1,paste up posters with political messages in places where it is not allowed or encouraged,FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,21,0,"disrupt traffic (e.g., blocking roads)",FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,22,0,"refuse to pay fees, fines, or taxes in protest",FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,23,0,mock or insult individuals who are [against/for] restricting or banning abortion,FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,24,0,spray paint political messages in public places,FALSE
04u9sf5paudi1lf3tg2jkom8,Conservative,Man,Against,25,0,attend a protest march even though it might turn violent,FALSE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,1,0,attend a protest march even though it might be unlawful,TRUE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,2,1,"hand out flyers, leaflets, or pamphlets",TRUE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,3,1,make a public speech,TRUE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,4,1,hold meetings to influence the public,TRUE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,5,1,attend or organise a protest march,TRUE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,6,1,"wear or display political symbols (e.g., patches, flags, bumper stickers)",TRUE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,7,1,"use social media (e.g., Facebook, Twitter, Instagram) to influence the public",TRUE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,8,1,refuse to buy goods or services from companies that advocate [against/for] restricting or banning abortion (boycott),TRUE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,9,1,paste up posters with political messages in places where it is allowed and encouraged,TRUE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,10,1,join or form a group of activists,TRUE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,11,1,refuse to accept honors or awards in protest,TRUE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,12,1,donate to politicians who advocate [Field-cause] restricting or banning abortion,TRUE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,13,1,refuse to work (strike),TRUE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,14,1,"pay for adverts on social media (e.g., Facebook, Twitter, Instagram) to influence public opinion",TRUE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,15,1,donate to activist groups,TRUE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,16,0,"visit people in their homes to convince them about the issue (canvassing, door knocking)",TRUE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,17,0,"stand or sit in a building and refuse to leave (stand-in, sit-in)",TRUE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,18,1,protest outside the homes of politicians who advocate [against/for] restricting or banning abortion,TRUE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,19,0,enter and refuse to leave a building (occupation),TRUE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,20,0,paste up posters with political messages in places where it is not allowed or encouraged,TRUE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,21,0,"disrupt traffic (e.g., blocking roads)",TRUE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,22,0,"refuse to pay fees, fines, or taxes in protest",TRUE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,23,0,mock or insult individuals who are [against/for] restricting or banning abortion,TRUE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,24,0,spray paint political messages in public places,TRUE
05670awdvd1yk2ar45ejhzaa,Conservative,Man,For,25,0,attend a protest march even though it might turn violent,TRUE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,1,1,attend a protest march even though it might be unlawful,FALSE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,2,1,"hand out flyers, leaflets, or pamphlets",FALSE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,3,1,make a public speech,FALSE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,4,1,hold meetings to influence the public,FALSE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,5,1,attend or organise a protest march,FALSE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,6,1,"wear or display political symbols (e.g., patches, flags, bumper stickers)",FALSE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,7,1,"use social media (e.g., Facebook, Twitter, Instagram) to influence the public",FALSE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,8,1,refuse to buy goods or services from companies that advocate [against/for] restricting or banning abortion (boycott),FALSE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,9,1,paste up posters with political messages in places where it is allowed and encouraged,FALSE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,10,1,join or form a group of activists,FALSE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,11,0,refuse to accept honors or awards in protest,FALSE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,12,1,donate to politicians who advocate [Field-cause] restricting or banning abortion,FALSE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,13,0,refuse to work (strike),FALSE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,14,1,"pay for adverts on social media (e.g., Facebook, Twitter, Instagram) to influence public opinion",FALSE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,15,1,donate to activist groups,FALSE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,16,0,"visit people in their homes to convince them about the issue (canvassing, door knocking)",FALSE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,17,1,"stand or sit in a building and refuse to leave (stand-in, sit-in)",FALSE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,18,0,protest outside the homes of politicians who advocate [against/for] restricting or banning abortion,FALSE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,19,0,enter and refuse to leave a building (occupation),FALSE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,20,1,paste up posters with political messages in places where it is not allowed or encouraged,FALSE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,21,0,"disrupt traffic (e.g., blocking roads)",FALSE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,22,0,"refuse to pay fees, fines, or taxes in protest",FALSE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,23,0,mock or insult individuals who are [against/for] restricting or banning abortion,FALSE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,24,0,spray paint political messages in public places,FALSE
094k8qixj49yhbxp84poolww,Conservative,Woman,Against,25,1,attend a protest march even though it might turn violent,FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,1,0,attend a protest march even though it might be unlawful,FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,2,1,"hand out flyers, leaflets, or pamphlets",FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,3,1,make a public speech,FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,4,1,hold meetings to influence the public,FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,5,1,attend or organise a protest march,FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,6,1,"wear or display political symbols (e.g., patches, flags, bumper stickers)",FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,7,1,"use social media (e.g., Facebook, Twitter, Instagram) to influence the public",FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,8,1,refuse to buy goods or services from companies that advocate [against/for] restricting or banning abortion (boycott),FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,9,1,paste up posters with political messages in places where it is allowed and encouraged,FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,10,1,join or form a group of activists,FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,11,1,refuse to accept honors or awards in protest,FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,12,1,donate to politicians who advocate [Field-cause] restricting or banning abortion,FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,13,1,refuse to work (strike),FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,14,1,"pay for adverts on social media (e.g., Facebook, Twitter, Instagram) to influence public opinion",FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,15,1,donate to activist groups,FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,16,1,"visit people in their homes to convince them about the issue (canvassing, door knocking)",FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,17,0,"stand or sit in a building and refuse to leave (stand-in, sit-in)",FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,18,1,protest outside the homes of politicians who advocate [against/for] restricting or banning abortion,FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,19,0,enter and refuse to leave a building (occupation),FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,20,0,paste up posters with political messages in places where it is not allowed or encouraged,FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,21,0,"disrupt traffic (e.g., blocking roads)",FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,22,0,"refuse to pay fees, fines, or taxes in protest",FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,23,1,mock or insult individuals who are [against/for] restricting or banning abortion,FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,24,0,spray paint political messages in public places,FALSE
0an4o2cfckjcsj1jogyrohwl,Conservative,Man,For,25,0,attend a protest march even though it might turn violent,FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,1,0,attend a protest march even though it might be unlawful,FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,2,1,"hand out flyers, leaflets, or pamphlets",FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,3,1,make a public speech,FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,4,1,hold meetings to influence the public,FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,5,1,attend or organise a protest march,FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,6,1,"wear or display political symbols (e.g., patches, flags, bumper stickers)",FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,7,1,"use social media (e.g., Facebook, Twitter, Instagram) to influence the public",FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,8,1,refuse to buy goods or services from companies that advocate [against/for] restricting or banning abortion (boycott),FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,9,1,paste up posters with political messages in places where it is allowed and encouraged,FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,10,1,join or form a group of activists,FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,11,1,refuse to accept honors or awards in protest,FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,12,1,donate to politicians who advocate [Field-cause] restricting or banning abortion,FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,13,1,refuse to work (strike),FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,14,1,"pay for adverts on social media (e.g., Facebook, Twitter, Instagram) to influence public opinion",FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,15,1,donate to activist groups,FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,16,1,"visit people in their homes to convince them about the issue (canvassing, door knocking)",FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,17,0,"stand or sit in a building and refuse to leave (stand-in, sit-in)",FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,18,1,protest outside the homes of politicians who advocate [against/for] restricting or banning abortion,FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,19,0,enter and refuse to leave a building (occupation),FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,20,0,paste up posters with political messages in places where it is not allowed or encouraged,FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,21,0,"disrupt traffic (e.g., blocking roads)",FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,22,0,"refuse to pay fees, fines, or taxes in protest",FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,23,0,mock or insult individuals who are [against/for] restricting or banning abortion,FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,24,0,spray paint political messages in public places,FALSE
0c9a197ev8xs38754mlg7n5n,Conservative,Woman,For,25,0,attend a protest march even though it might turn violent,FALSE
0dt6pnybelt7c683u3rhkrz2,Liberal,Woman,For,1,0,attend a protest march even though it might be unlawful,FALSE
0dt6pnybelt7c683u3rhkrz2,Liberal,Woman,For,2,1,"hand out flyers, leaflets, or pamphlets",FALSE
0dt6pnybelt7c683u3rhkrz2,Liberal,Woman,For,3,1,make a public speech,FALSE
0dt6pnybelt7c683u3rhkrz2,Liberal,Woman,For,4,1,hold meetings to influence the public,FALSE
0dt6pnybelt7c683u3rhkrz2,Liberal,Woman,For,5,1,attend or organise a protest march,FALSE
0dt6pnybelt7c683u3rhkrz2,Liberal,Woman,For,6,1,"wear or display political symbols (e.g., patches, flags, bumper stickers)",FALSE
0dt6pnybelt7c683u3rhkrz2,Liberal,Woman,For,7,1,"use social media (e.g., Facebook, Twitter, Instagram) to influence the public",FALSE
