id,sample,target,q6,q7,q8,q9,q10,q11_1,q11_2,q11_3,q11_4,q11_5,q11_6,q11_7,q11_8,q12_1,q12_2,q12_3,q12_4,q12_5,q12_6,q12_7,q12_8,attention_check,exclude
hl71wrdcuu5k48tioihjrgwy,PJ,WJ,7,3,4,6,1,6,3,6,7,4,4,6,6,5,5,2,7,5,5,4,5,Working class people,FALSE
gub7ig3ihu9z4ham00bc1c6x,PJ,PJ,6,6,6,6,1,1,1,7,7,1,1,7,7,6,5,2,4,5,6,2,4,professional people,FALSE
aqd5vg27yloc7cijengesq5l,PJ,PJ,7,5,6,6,3,1,1,7,7,1,1,7,6,3,3,7,1,2,2,7,2,Professional workers,FALSE
p1q34quqxaim84c38g1drvi4,PJ,PJ,7,1,1,7,1,6,1,5,5,3,3,6,6,5,5,4,4,5,5,4,4,Management,FALSE
nj9sr8aqty75pgp3ndkrt642,PJ,WJ,7,2,2,2,3,3,1,6,7,2,2,7,7,2,2,7,1,4,2,4,2,Working class people,FALSE
h5i17ravvgb29o2nh8prcs6o,PJ,WJ,6,3,2,5,3,3,3,5,6,3,3,5,7,2,1,4,5,3,3,3,2,Working class,FALSE
iowuep8zuvv00mn3gzukf0fa,WJ,WJ,7,4,6,7,3,1,1,7,1,7,7,7,7,1,1,7,1,1,7,7,1,people from the middle to lowest paid,TRUE
eom5utvaj60o7ayaiavt7hzz,WJ,PJ,6,1,1,5,1,4,5,7,7,2,4,5,6,2,1,7,7,6,4,6,3,those in professional jobs such as office managers,FALSE
gazenzeb13n2g4jkg937r1dr,PJ,PJ,4,3,3,5,2,4,1,7,7,4,2,7,7,3,3,4,2,3,2,3,2,everyone,TRUE
ahkk7lmx1iubbxe1r3drabbe,PJ,WJ,3,3,3,5,1,1,1,7,7,5,5,5,7,1,3,6,1,2,1,7,1,Working class people,FALSE
anfr772fcmrgfsnljwwk9xv7,PJ,PJ,6,7,7,7,2,4,2,3,5,4,3,5,5,2,2,4,4,4,5,4,4,professionals,FALSE
79dqgub4ham8bd1u5sfozd8i,PJ,PJ,5,1,6,7,1,4,6,2,1,6,6,5,5,3,1,3,3,4,3,4,5,Professionals,FALSE
1g6pst4s19ztl99ie16259dd,PJ,PJ,6,5,5,5,1,6,1,6,7,5,2,6,7,3,1,5,2,5,4,3,3,NA,TRUE
t9ljyg6cvm6h1xdn4lgrpkka,WJ,WJ,7,4,4,5,1,4,4,6,4,4,4,3,3,3,5,2,7,4,4,2,4,Working class,FALSE
baj8fj7xewy0hu02pduekg89,PJ,WJ,3,4,3,4,1,5,5,6,4,4,5,5,5,2,3,5,4,4,5,5,2,The Working Class,FALSE
x4u5zlsrpbtf8pv5c127st17,PJ,WJ,5,2,3,6,1,2,1,6,7,1,2,7,7,3,6,3,5,4,3,4,3,Working class people,FALSE
sife0ywhv06qq64cx54fl1c8,PJ,WJ,7,5,4,7,4,3,1,7,7,1,2,6,6,2,1,7,1,1,1,7,1,People in skilled or semi skilled jobs,FALSE
k6ifo54yipt8d29zgkfj2ncd,WJ,PJ,5,5,5,5,1,5,1,5,6,1,4,6,6,3,3,4,2,5,3,5,3,Working people,FALSE
z60wzgqqikie5yok287ay8de,PJ,WJ,5,4,4,4,1,1,1,7,7,3,2,7,7,3,1,7,1,1,2,6,2,Working class,FALSE
x1tdpm2rx8g9pgvfiz03h3br,WJ,PJ,3,1,2,3,1,3,2,7,4,5,3,5,7,2,3,5,7,5,4,5,2,professionals,FALSE
o1jxuzq8x9bwhsutpj6fhqy4,PJ,WJ,6,4,3,5,1,3,1,6,6,3,1,6,6,2,2,6,3,3,2,4,2,NA,TRUE
ddq8hbogosoe240iju1bm0sq,PJ,WJ,7,3,4,5,2,2,1,7,7,2,1,6,6,4,3,5,4,3,3,5,2,The working class,FALSE
e4n2srk002dr61me29p9m6vi,PJ,PJ,7,7,7,7,1,2,1,6,7,2,1,7,7,5,4,5,5,5,5,5,5,Professional people,FALSE
7jrc1y8injz4g18i5iw17ugc,WJ,WJ,5,6,5,6,2,3,1,6,7,1,1,7,7,2,2,5,5,5,3,5,3,Working class workers,FALSE
q5e46tlypkk436c2h5e9rb28,WJ,PJ,7,3,5,5,1,6,4,7,7,1,1,7,7,3,1,7,3,6,3,6,4,People in professional jobs who normally have degrees,FALSE
fam6b3xvok52loh5nbzmqnla,PJ,WJ,5,1,2,2,1,3,1,6,7,4,4,6,7,2,2,3,4,5,2,3,3,working class,FALSE
d0l7v9sbvhcgp6an6nh1rkdd,PJ,PJ,5,5,6,5,3,4,4,4,4,4,4,4,4,5,3,5,3,5,5,3,5,Professional workers,FALSE
dl3fa7fjyblenew0mny6hxsa,PJ,PJ,7,7,7,6,2,5,5,4,5,4,4,4,4,5,3,3,3,2,5,4,5,professionals,FALSE
imt27hiwgosva6vyez98wyzp,PJ,WJ,6,3,2,5,2,1,1,6,7,2,1,7,7,1,1,7,2,2,2,6,2,working class people,FALSE
qaso8ymu70ujbyp2oep9cima,PJ,PJ,6,3,3,3,1,5,5,4,4,4,4,4,4,1,1,5,1,3,2,7,3,People in professional jobs admin managerial or those needing a degree etc,FALSE
kfsotfbwuhb5vpskda5js4hu,PJ,WJ,6,3,3,5,2,4,3,5,5,4,4,5,5,2,2,5,1,2,2,6,2,Manual workers in low paid jobs,FALSE
97f5pp5ox9ty5lcwrhddk16i,WJ,WJ,6,2,2,2,1,4,3,5,7,2,2,5,6,4,1,6,5,4,1,6,4,The Working Class People,FALSE
ovqqpp6e3pdc7so41vm6bvun,WJ,WJ,7,7,7,7,1,3,3,6,6,2,2,6,7,3,3,5,5,5,3,5,5,Working class people,FALSE
kfsotfbwuhb5vpskda5js4hu,PJ,WJ,2,3,3,5,2,3,2,5,4,3,3,5,5,2,3,6,1,2,2,7,2,Low skilled and semi skilled workers in manual jobs generally those who do not have a degree,FALSE
hd9luoh6jut2vyiqwan5ziwd,PJ,PJ,5,5,5,5,5,2,1,7,7,2,1,7,7,2,2,5,2,3,1,4,1,disadvantaged people,TRUE
y7unzbkgyxang7trmahcdzvm,WJ,WJ,6,5,6,6,1,3,1,7,7,6,4,5,7,3,3,5,4,4,4,5,3,Working class people,FALSE
g436dj7ig3rp9rh4qs5lgj6m,PJ,WJ,5,1,2,3,3,1,1,7,7,1,1,7,7,2,2,5,1,5,2,4,3,Working class,FALSE
ni04m6rnzzxhijbcty2xyeri,PJ,PJ,6,7,7,7,2,2,1,7,7,4,1,7,7,3,2,3,2,4,1,5,2,professional workers,FALSE
33q4r17hv79gzt9eh2a1mxus,WJ,PJ,3,2,2,1,1,6,4,2,5,4,4,6,6,3,3,5,6,3,5,2,3,People in professional jobs that generally require a university degree,FALSE
1m75oyrf917urhqlv0ox82rx,PJ,PJ,7,7,7,7,3,6,3,5,6,5,6,4,6,5,3,5,6,5,3,5,3,Professionals,FALSE
nc9czba3rgfv3g14pj9x4iti,WJ,PJ,5,4,4,3,1,4,5,7,7,1,1,7,7,1,1,1,4,4,1,5,5,professinol,FALSE
bj6051cj2uc5lrqe7jr82p6c,PJ,PJ,5,5,5,5,3,3,1,5,7,2,2,5,7,3,1,5,2,4,3,4,3,White collar professional and administrative workers,FALSE
9iimrybnz3xokotbwcu9tsgt,WJ,WJ,7,6,7,7,1,4,4,4,1,3,5,6,7,1,4,5,2,2,1,6,1,Working Class People,FALSE
djunbvwppfyy6nlgazi2klv3,PJ,WJ,6,4,5,6,1,1,1,7,3,3,2,5,6,4,2,5,4,3,1,4,3,working class people,FALSE
sa4bhi5saej053yeltoa366j,WJ,PJ,7,4,4,5,2,2,1,7,7,3,2,6,7,2,2,6,4,2,1,7,2,Employees in a professional job,FALSE
2r01ihrgv27mkrwp8qordkis,PJ,WJ,6,5,5,6,3,2,1,7,7,3,1,6,7,4,3,5,4,5,2,4,2,Non professional people with jobs whose labour would become casualised rather than protected as employment is at the moment,FALSE
lxjz41fhec8i7ltb1mm497nr,PJ,PJ,4,4,4,4,1,4,4,4,7,4,4,7,7,5,4,4,2,4,6,4,4,The public,TRUE
vilofwy20qfsk554zfwhybci,WJ,WJ,7,7,7,7,1,1,1,7,7,1,1,7,7,1,1,7,2,3,2,7,1,Skilled semi skilled and unskilled persons generally without a degree,FALSE
pmt4hotru8xqn0q6m4640anz,WJ,PJ,6,2,4,2,4,1,1,7,7,1,1,7,7,1,1,7,4,3,1,7,1,People with professional jobs,FALSE
rpwmuplmepgufqqplakeq496,PJ,WJ,3,1,2,3,2,6,4,3,5,5,5,4,6,2,4,1,6,5,5,4,3,Working classes,FALSE
doyo87ve949dwwvc73p7cb8m,PJ,WJ,4,4,4,5,1,4,1,4,7,4,5,4,7,6,6,2,4,5,6,2,2,Working class,FALSE
9lvamaj1wi8q3woomh7r0p80,WJ,WJ,7,7,7,4,1,2,2,6,6,3,2,5,7,2,3,5,2,2,3,5,3,The working class,FALSE
6pc4lzh8bzjkx0d6keupad4p,PJ,PJ,6,6,6,6,2,2,2,6,6,4,4,5,7,4,3,5,4,4,3,3,4,Professionals,FALSE
zugqh846puc5tdd9e6i4xb5j,WJ,PJ,7,3,4,3,1,2,2,6,7,1,1,7,7,2,2,6,4,5,3,6,2,professional workers,FALSE
y7wjm6ixeikzl51flo6il8wt,PJ,PJ,4,1,2,7,1,6,6,5,3,5,5,4,6,3,2,6,3,3,3,5,3,Professionals,FALSE
e8mxwx8m20ax0mzo6p3uqyta,PJ,WJ,5,1,1,5,1,5,1,7,6,5,5,7,7,5,3,4,7,6,5,3,3,Those in working class jobs,FALSE
ueyany80pm9msc87xr6p887c,PJ,PJ,6,6,5,7,2,3,1,6,7,2,1,7,7,3,3,6,5,5,6,3,4,Professionals,FALSE
ba9z6u3gyq2hlcag18r3al42,PJ,WJ,7,4,3,3,3,4,2,5,5,3,3,5,6,2,1,5,2,4,2,5,2,People in working class jobs,FALSE
pm18raba4frpl9au5nsiqju8,PJ,WJ,1,1,1,2,1,4,4,4,5,5,5,3,4,6,6,2,7,5,6,2,5,working class,FALSE
e3y2avxmds2e0uuicbkmg41w,PJ,PJ,7,7,7,7,3,5,5,4,4,5,6,2,6,3,2,5,2,3,2,6,5,professionals,FALSE
il45s3tuhh4fy31x4p1g5pgk,PJ,PJ,6,6,7,7,2,6,5,3,4,7,6,4,4,6,5,4,4,5,6,5,4,Professional people,FALSE
c3vw3gjjmyl7ery847ycc9kj,WJ,WJ,5,4,5,5,1,4,3,5,2,4,3,5,4,3,3,4,6,4,3,5,3,not sure,TRUE
cf1drq5ll6sqxyfejltv20fv,PJ,WJ,6,2,3,4,2,2,5,7,6,6,5,5,6,3,3,2,6,5,5,5,3,working class people,FALSE
wnbvih71qrzmco1vq3gmyddo,PJ,PJ,7,7,7,7,1,3,4,7,6,6,3,6,6,1,1,5,2,3,2,7,1,professional office workers,FALSE
lospillsd3pm79fo2jinpj7v,PJ,WJ,5,3,5,5,1,6,5,7,7,3,2,6,6,6,5,4,4,6,5,5,4,Working class people,FALSE
t635586ma5glhrx37hrx2aj4,WJ,WJ,5,4,6,6,1,4,3,4,4,4,5,5,5,2,2,5,4,4,2,6,3,Working class,FALSE
pnj1cg1o7u3uegs7vn7ic824,WJ,PJ,4,4,4,6,1,4,3,7,7,1,1,6,5,2,2,6,2,4,2,6,5,Working class,TRUE
qohwrcux0nfxlamtq6zy33qk,WJ,WJ,7,7,7,7,1,2,1,6,7,1,1,7,7,5,5,2,7,6,5,3,4,working class,FALSE
7vuvv2vtss4jstpxa3p8e5ie,PJ,PJ,6,2,7,6,2,5,3,7,7,2,2,6,6,4,2,4,4,3,4,5,2,professionals,FALSE
owyh6urqfvi9uuetumq8iypu,WJ,PJ,6,1,1,5,2,1,1,7,7,2,2,7,7,1,2,7,1,2,2,7,1,Professional workers,FALSE
ze2ngq6rasewiv0vc4why60k,PJ,WJ,6,1,1,3,1,3,1,6,4,1,1,7,7,2,1,5,1,2,1,4,1,Semi skilled manual labour,FALSE
vvp5cmygzpdth5k9v0r82vps,WJ,PJ,5,5,6,3,2,2,4,3,7,4,6,7,4,3,3,4,3,4,2,5,4,Public,TRUE
du16gc9okm4e7fpo8ehha3vn,WJ,PJ,5,1,1,4,1,2,1,7,7,2,2,7,7,3,3,5,5,6,5,5,5,Professional workers,FALSE
wjysesy5yx5sanad274kksgr,PJ,PJ,5,5,5,5,2,4,2,5,6,4,4,5,7,5,4,4,6,4,6,4,4,Always the lower classes,TRUE
dlnvo16c608cz7t4o0jnf8wu,WJ,PJ,7,1,1,4,1,2,1,7,7,1,2,7,7,2,4,5,4,5,1,4,1,Professionals,FALSE
aw128gy5h0kf63ermk2tq08j,WJ,WJ,6,5,6,6,1,1,1,7,7,2,1,7,7,5,1,6,2,2,2,7,2,Working class,FALSE
vto2i9h7sxhq206w1a3ytkvj,PJ,WJ,6,2,2,4,3,3,2,6,6,2,2,6,6,3,3,5,6,5,2,4,3,Working Class,FALSE
44kil0xirunqbl18cyfuzp9w,WJ,WJ,7,7,7,6,1,1,1,7,7,1,1,7,7,1,2,6,1,3,1,7,1,Working class groups,FALSE
t9d2fuou1s1r901ql3rp9j0c,WJ,WJ,6,6,7,6,2,1,1,7,7,1,1,7,7,1,1,7,3,3,1,1,1,Working class,FALSE
qzvpur2dmd8gkct60yy25qf2,WJ,WJ,7,1,1,1,2,1,1,7,7,1,1,7,7,3,1,7,4,4,2,7,1,skilled and semi skilled,FALSE
tupvp4pjqcga9ohiq5hz7862,PJ,WJ,3,1,2,3,2,5,3,3,5,3,2,6,6,2,2,3,2,5,3,4,3,Working class people in jobs not requiring a university degree,FALSE
r80x9tg6l7e2d4u9wwdxlmor,WJ,PJ,7,1,5,5,2,4,2,6,7,2,2,6,6,2,2,6,6,3,3,5,1,Professions that generally required a degree,FALSE
2kjwcanafb9pueolozm2w1kg,WJ,WJ,7,1,5,7,2,1,1,7,7,1,1,7,7,2,2,6,2,2,1,5,2,Working Class people,FALSE
6ubtrwcbyopm4neyustostyt,WJ,WJ,7,6,6,6,2,3,4,5,6,4,5,5,5,4,4,4,4,4,3,5,3,Working class people,FALSE
1pvaq5hbei5ttzsmb48fs02u,WJ,PJ,5,4,3,4,1,4,3,5,5,3,3,5,5,5,5,3,5,5,6,4,2,Professional people,FALSE
65clufuek5hozocl6kxkq75m,PJ,PJ,5,6,6,6,2,2,1,7,6,2,2,6,6,3,1,6,4,3,2,5,2,Professional workers,FALSE
o5s0p20z9nixa03ik0qsbxm3,PJ,PJ,6,6,6,6,2,1,1,7,7,2,1,7,7,3,3,2,3,5,5,5,3,People in professional jobs,FALSE
5vayp78is4ph25xn3s95skm7,WJ,PJ,4,1,1,1,1,1,1,7,7,1,1,7,7,2,1,7,1,2,2,5,2,high level people with degrees,FALSE
uys5iig2auithw9yjcioepvk,WJ,PJ,6,6,5,5,2,4,1,6,7,3,1,7,7,3,3,5,2,5,3,6,3,People with professional jobs,FALSE
aekteo9e4670b8bmujof4tnu,WJ,WJ,7,7,7,7,1,1,1,7,7,1,1,7,7,1,1,7,1,1,1,7,1,Working class,FALSE
5xbfhd4uopmbs3imaeodqx4w,WJ,WJ,7,7,7,7,3,1,4,7,7,1,1,7,7,1,1,7,1,1,1,7,1,Working Class,FALSE
q5k9zhlceiqfb415cvr4hiq0,PJ,WJ,7,4,5,4,1,2,1,7,7,7,1,7,7,2,1,5,1,4,3,5,2,Working class,FALSE
wpabvznlxup472ym2vtvw717,WJ,PJ,6,1,3,2,1,4,4,5,5,4,4,5,5,3,2,5,2,3,1,6,4,People in professional jobs like administration and jobs that require a degree,FALSE
vjbuowyatut332k2eepgt80u,WJ,WJ,7,7,7,7,1,4,5,1,6,6,5,7,7,6,5,2,7,6,1,4,5,Working class,FALSE
ev5qnymv2o400aa5i06wy7b2,WJ,WJ,7,6,6,7,1,6,5,2,5,5,7,4,5,2,1,6,2,1,5,6,3,Working class,FALSE
25wbbrwa19b9y2481knxi54h,WJ,PJ,4,4,4,4,1,3,3,6,7,3,3,4,5,5,2,6,3,5,2,5,3,NA,TRUE
p7zwjsal0c07dmsfq4q8f5is,PJ,PJ,6,6,6,5,2,4,3,6,6,6,2,6,6,3,2,5,2,5,5,4,3,Professional people,FALSE
ee8qawjoq56i3lvegttk1qez,WJ,WJ,7,7,7,7,1,4,1,7,7,1,1,7,7,4,4,5,3,5,3,5,3,Working class,FALSE
8pwicjtzf931zlgf6tji6k7a,PJ,WJ,4,2,2,2,1,5,4,5,5,3,5,6,6,3,1,5,1,2,4,7,2,working class,FALSE
ppuii0y7ffx1qr9ctpfp1nsu,WJ,WJ,7,7,7,7,3,4,4,7,7,4,4,4,4,1,1,7,6,4,2,7,2,Working class,FALSE
tq6myvh7vv5hrrmh7kfao19z,WJ,PJ,5,3,3,5,1,3,2,6,6,3,2,6,6,2,3,6,4,3,2,6,2,People in managerial roles admin etc,FALSE
y7air2g0x9e19dijiw1t77rs,PJ,PJ,5,7,6,7,2,1,1,7,6,1,2,6,7,5,3,3,3,5,3,4,3,Professional employees,FALSE
9u92ho87r0ssvp9so7nkeu7o,PJ,PJ,7,1,1,4,1,4,1,7,7,1,1,7,7,2,2,5,2,2,1,7,1,professional people in admin and managerial posts which usually needed a degree,FALSE
ngfp7q9ayoygg7u85oqq6uj7,PJ,WJ,4,3,3,3,2,4,5,5,3,3,3,5,6,2,3,3,3,4,2,2,2,Working class people,FALSE
w4ak4mcg7vvap57i0pz0pn7c,WJ,WJ,7,7,7,7,2,4,2,6,7,4,4,5,7,4,3,4,4,2,3,5,3,Working class,FALSE
nk3tywc7991pyqzmtmnt33x3,PJ,WJ,5,3,5,5,1,5,6,2,3,5,3,5,7,3,2,2,3,5,5,5,5,The working class,FALSE
gmdihgjhzjifjjdonqkho0l1,WJ,PJ,3,1,1,1,1,6,6,2,3,6,6,3,5,6,1,2,7,1,6,6,6,People in professional jobs,FALSE
asmqxrkatzmh8fiwioxkdl4f,WJ,PJ,4,2,2,2,1,6,6,3,5,6,6,6,6,3,2,5,3,3,2,5,3,professional jobs,FALSE
z73k8s92m35hmtcg8ykq0ldu,WJ,WJ,7,7,7,7,1,2,2,7,7,2,2,7,7,1,7,6,7,6,2,6,1,Skilled manual workers,FALSE
nwdujh9dfqqffjsnpgicdlvp,PJ,WJ,2,1,3,5,1,7,5,7,2,7,7,2,5,6,6,2,4,5,6,3,6,Working class,FALSE
xamxm7sdci17x9jvp2iand7i,WJ,PJ,7,3,3,5,1,3,2,7,7,6,4,6,6,1,2,6,4,5,3,5,4,Professionals,FALSE
2enstw8ukteqxirjmkmdp748,WJ,WJ,4,4,4,4,1,3,2,6,6,2,2,6,6,2,2,4,3,2,2,5,3,NA,TRUE
ff6nxad3odx86ng50jtovndw,PJ,WJ,7,1,1,4,1,3,5,5,5,5,3,4,5,2,1,7,1,1,1,7,1,Working class,FALSE
8yodyuvlupfddo4e80losyg7,PJ,PJ,6,3,4,4,1,5,2,7,6,2,3,5,5,4,2,6,5,2,2,5,3,Those being hired within professional roles that could be hired or fired easily,FALSE
2jpxmcmnct1ntslgmc7iy4ek,PJ,PJ,6,7,7,7,2,6,3,6,3,6,6,6,7,6,6,3,3,6,2,3,6,University educated professionals,FALSE
cf8nsnrhhjkq7lexy9wm86cn,PJ,WJ,4,4,5,3,1,4,5,4,3,3,4,4,3,5,5,4,5,4,4,4,4,working class people,FALSE
c2ybif900d5v1nt3xc4v423q,WJ,PJ,5,3,3,2,3,1,1,7,7,1,1,7,7,2,2,6,1,1,1,4,1,Professionals,FALSE
46s2enih19i61du8ey4j29rs,WJ,PJ,7,7,7,7,3,5,4,6,6,4,4,5,6,3,4,4,5,4,3,7,4,Professionals,FALSE
u7kb8fg48y839146cyjekha6,PJ,PJ,5,6,6,6,2,5,2,3,5,3,4,6,6,5,4,3,5,5,5,4,4,University degree holders,FALSE
rvdlinedz4mfmgz1luhfklqy,PJ,WJ,7,5,5,7,4,3,1,4,6,4,4,5,7,3,2,5,2,2,2,4,3,all People with social conscience,TRUE
mcg5buza33jifyybhd5e4rfg,PJ,PJ,6,5,6,6,3,4,5,4,5,4,4,4,5,3,4,5,3,3,3,5,3,Those who need a degree to do their job,FALSE
37z1vy63r0skfgrwt32aqhm3,PJ,WJ,3,2,1,2,1,5,6,6,6,4,5,5,7,5,6,4,4,5,5,4,4,the working classes,FALSE
l4ywd7ypj5dldvap892e7g5t,WJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
zdhinnk2jotzn9ahy64qx4fh,PJ,PJ,5,5,7,6,2,2,3,7,7,3,2,7,7,3,3,5,3,3,2,5,3,Professionals,FALSE
rixamujod37bci2rd6tb79ap,PJ,WJ,7,2,2,5,3,1,1,7,6,1,1,7,7,3,1,6,4,5,2,4,4,working class people,FALSE
li1obycxwlh5obc2k24xsarh,WJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
cbzo6e17uo1641s02d787zyt,WJ,WJ,7,7,7,7,1,4,2,6,7,2,2,6,6,4,3,5,6,5,6,3,2,Semi Skilled working class who did not need a degree,FALSE
wphvmiewjyahdlfengal6zm1,WJ,WJ,7,7,7,7,2,4,4,7,6,6,1,7,7,3,3,1,4,5,3,5,1,Working class people,FALSE
8rb2pd3yhxg8ab13mgwj4grm,PJ,PJ,5,4,4,4,1,4,5,6,6,3,3,6,6,3,3,5,3,5,6,6,3,Lower class,FALSE
ge0qklb74xnkzplwcl31ymsz,PJ,WJ,5,5,4,5,2,2,1,7,6,5,6,6,7,5,3,2,3,5,4,4,4,Working Class employees,FALSE
ic45f7gsdqrs7xflknush3tn,WJ,PJ,5,5,5,5,1,2,1,7,7,2,2,5,6,5,6,2,7,7,5,4,4,not sure,TRUE
mpzaa0i7f65ne2qrsg5c1jw8,PJ,WJ,6,4,4,4,1,4,3,5,5,4,4,5,5,5,5,2,4,5,5,3,5,working class,FALSE
xtrzjlpwb4wjxrnb5m80698h,PJ,PJ,7,6,7,7,1,1,1,1,7,1,1,7,7,3,2,6,2,3,2,7,3,Professionals,FALSE
q2ch8vh6f0cmdxpbery3mnwv,WJ,WJ,5,2,5,6,2,2,1,7,6,2,1,7,7,2,2,6,4,3,2,4,1,people who hold working class jobs,FALSE
3vsinn3p5mswq4pkmodw3w3f,PJ,WJ,5,1,2,2,2,6,7,6,1,7,7,2,7,2,1,5,3,5,1,5,6,Factory workers people without degrees,FALSE
ogow3fvjolk7djnwpp4z50b7,PJ,PJ,5,1,4,7,2,3,3,7,7,5,3,6,7,1,1,5,3,3,2,4,1,Professionals,FALSE
6r2tzqsqc1wb1mr5fesqj0bg,WJ,PJ,4,4,4,5,1,4,5,7,6,5,4,5,6,4,4,6,3,4,3,6,4,working class,TRUE
lozg9j6lzu2iir6lus4xiaiu,WJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ckys9ke5295752tjw4wbhzsk,PJ,WJ,5,3,2,5,1,5,1,6,7,4,2,6,7,2,3,6,4,3,3,5,1,working class,FALSE
tbek85jvumgqz6wy1bmvjfxv,PJ,PJ,4,5,5,5,2,3,1,7,7,2,2,6,7,3,1,5,4,4,3,5,2,Professionals,FALSE
9n3fzk7kdi57vcvqsx5bd3jf,WJ,PJ,5,2,2,2,2,2,1,6,7,1,2,7,7,2,1,4,5,2,1,5,2,Professional workers,FALSE
bmm41jqelz7hbkt98it047ea,WJ,PJ,2,2,3,1,1,3,2,7,6,1,1,6,5,1,2,7,1,3,1,7,1,people in certain job industries,FALSE
z0uca9bal9jf5ng52t4lcihe,WJ,PJ,6,5,5,5,1,3,2,7,7,4,2,7,7,2,2,6,4,3,2,4,3,professionals who are people in jobs that would normally require a degree,FALSE
osk4zv9si8wfuoegotoe0i9q,WJ,WJ,7,6,7,6,1,6,1,7,7,1,1,7,7,2,6,4,5,6,3,7,2,Working class,FALSE
eftdrybir5k6dyjwl2oyo9n2,PJ,WJ,7,1,3,3,3,3,1,7,6,6,3,7,7,1,2,5,2,3,2,6,1,Non graduate workers in lower skilled jobs,FALSE
vpja6wdkkkwsy75l365l59t5,WJ,WJ,6,2,2,7,2,4,4,5,5,4,4,5,5,2,2,6,4,2,1,7,3,WORKING CLASS PEOPLE WHO COULD BE SACKED IF THE EMPLOYER WAS IN A DOWN SPELL,FALSE
o9pn0s9z0anp0a3s3f6iiyru,PJ,PJ,7,1,7,7,2,2,2,6,6,4,5,5,5,3,3,5,3,4,4,5,3,Professionals,FALSE
ppe7sy7oqahwkhjqpye68q3o,WJ,WJ,5,5,4,5,1,1,1,7,7,1,1,7,7,2,2,7,2,2,1,6,2,Working class people,FALSE
g2knaot240j4ai2klf2uotsu,WJ,WJ,7,5,6,7,1,1,1,7,7,1,1,7,7,2,2,6,2,1,2,6,2,People in working class jobs,FALSE
gvvi97v83swbtnt5lw9urino,PJ,WJ,7,2,1,6,1,4,3,6,6,4,3,6,7,5,5,2,5,5,5,5,3,working class people,FALSE
2vvppuollp3z1nra4mz9g626,WJ,PJ,7,2,3,5,3,1,1,1,7,1,1,7,7,1,1,6,2,2,1,7,1,Professional workers,FALSE
tnys3fhyajk1wv8v99bkffa5,PJ,PJ,7,7,7,7,3,5,2,6,5,4,3,5,6,2,2,5,4,3,3,5,3,Those in professional roles,FALSE
2dkd70k6681b8lmt8bcf9o8b,PJ,PJ,5,7,7,7,2,3,2,5,4,3,3,5,7,4,3,3,3,4,3,5,4,Professional people,FALSE
t49bk32xgs15veh80w3k58nw,WJ,PJ,4,4,4,4,1,4,4,3,5,4,4,4,4,4,5,4,4,4,3,5,2,NA,TRUE
jgacufm8wzfadh5p3uu5d5wr,WJ,PJ,6,7,7,7,2,3,3,5,5,3,3,5,5,2,2,5,4,3,3,5,2,People in Professional Job roles,FALSE
hkydxwkv832aj4ghqiozs0zk,WJ,WJ,5,3,7,5,1,1,1,7,7,1,1,7,7,1,1,7,3,1,1,7,1,working class,FALSE
r2y4xinktggbkv1m0dz3qzkx,WJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
p6wwg7jszlq5lxocwyxmcfco,WJ,PJ,2,1,1,7,1,1,1,7,7,1,1,6,7,3,1,5,6,5,2,6,1,people with a degree,FALSE
wxvbunsmiz11v55wol0zy50k,PJ,PJ,6,7,7,7,1,1,1,7,7,7,1,7,7,1,1,7,1,5,1,5,1,Working professionals,FALSE
0gxps78hmh8h16pcqrciazpv,WJ,WJ,7,4,7,7,2,5,2,5,6,4,4,6,7,3,3,4,4,3,3,5,2,the working class,FALSE
30ld9yx659zjt672pg4kwfhs,PJ,WJ,7,1,4,2,3,3,1,7,7,1,1,7,7,2,3,4,2,2,2,5,1,The working classes,FALSE
fyf0b2puab9scunjhy0u6lwe,PJ,WJ,6,5,5,6,2,1,1,7,7,1,1,7,7,5,2,5,4,5,5,5,4,Working class unskilled workers,FALSE
b6tl0u3nk4j1olshphaxu7qg,WJ,PJ,7,6,7,7,1,5,1,5,6,1,1,7,7,5,5,6,1,3,2,7,1,administrators and graduates,FALSE
xeru295xlhb742htyum76l2o,PJ,PJ,7,7,7,7,4,1,1,7,7,1,1,7,7,2,1,7,1,1,1,6,1,Professionals,FALSE
tuu4r0n6awvs8s0cq4uibc1n,WJ,WJ,4,1,1,1,1,1,1,7,7,1,1,7,7,2,2,5,4,5,2,5,3,working class,FALSE
zb8g490eseadf74pekk6wt9h,WJ,PJ,6,1,4,3,1,1,3,7,7,3,2,7,7,4,4,6,5,4,3,5,3,Managerial,FALSE
